dis ; ang ; K_true ; K_estim ; dist_estim
1 ; 0 ; 0.16914452412096537 ; 0.19367413994885416 ; 1.0 ; 1.1133007408220146
1 ; 0 ; 0.16940775204759972 ; 0.1942185246902417 ; 1.0 ; 1.113973169386386
1 ; 0 ; 0.16930400023081024 ; 0.19370257406892522 ; 1.0 ; 1.1128768185234095
1 ; 0 ; 0.16930661082123452 ; 0.1936024416818106 ; 1.0 ; 1.1125837914591765
1 ; 0 ; 0.16952019472842736 ; 0.19315779798513566 ; 1.0 ; 1.1105613715260503
1 ; 0 ; 0.16910720113091718 ; 0.19317130700959848 ; 1.0 ; 1.1120001490334825
1 ; 0 ; 0.1694075752963508 ; 0.19182968169002856 ; 1.0 ; 1.1071241481850462
1 ; 0 ; 0.16883082398687776 ; 0.19306414029823848 ; 1.0 ; 1.1125120716675996
1 ; 0 ; 0.16943638437935954 ; 0.19279526799950653 ; 1.0 ; 1.1097925236010584
1 ; 0 ; 0.1692451153240238 ; 0.19271125201976957 ; 1.0 ; 1.1101832701052268
1 ; 0 ; 0.16911086965569808 ; 0.1922399172616435 ; 1.0 ; 1.1092973458917166
1 ; 0 ; 0.16921686289240867 ; 0.19311019620672812 ; 1.0 ; 1.1114259662671127
1 ; 0 ; 0.16920389633854693 ; 0.1924067676527694 ; 1.0 ; 1.1094488179715873
1 ; 0 ; 0.169035680560415 ; 0.19259711891016454 ; 1.0 ; 1.1105940658301232
1 ; 0 ; 0.1690521210551469 ; 0.19401634184717578 ; 1.0 ; 1.1145683690426933
1 ; 0 ; 0.169173304468246 ; 0.19353187061743068 ; 1.0 ; 1.1127745617129898
1 ; 0 ; 0.16926595579649745 ; 0.19291467056214404 ; 1.0 ; 1.1106523126414525
1 ; 0 ; 0.16882286486071615 ; 0.19157136854675266 ; 1.0 ; 1.1083016494209914
1 ; 0 ; 0.169501072922288 ; 0.19380701239369755 ; 1.0 ; 1.112471513779079
1 ; 0 ; 0.16889751556358493 ; 0.1924820284330373 ; 1.0 ; 1.1106848664249118
5 ; 0 ; 0.16902847012290595 ; 0.16928627295849621 ; 5.0 ; 5.0118165577005955
5 ; 0 ; 0.16933722182455074 ; 0.16684544699380335 ; 5.0 ; 4.971125705429271
5 ; 0 ; 0.16928789957187507 ; 0.17184160012570618 ; 5.0 ; 5.045486375173731
5 ; 0 ; 0.16915876565824228 ; 0.16478158609921187 ; 5.0 ; 4.943005365788457
5 ; 0 ; 0.16883506820835326 ; 0.16601843787650714 ; 5.0 ; 4.966177805689902
5 ; 0 ; 0.16914926434122599 ; 0.17078488906482692 ; 5.0 ; 5.03209933425061
5 ; 0 ; 0.16881829436790374 ; 0.1699913974912701 ; 5.0 ; 5.02536604088467
5 ; 0 ; 0.1688033460059809 ; 0.16417757700703164 ; 5.0 ; 4.939105880985266
5 ; 0 ; 0.16929943331468644 ; 0.16616326723654945 ; 5.0 ; 4.961518720475981
5 ; 0 ; 0.16885022478500675 ; 0.16776833089052393 ; 5.0 ; 4.991885510544041
5 ; 0 ; 0.16886049387727015 ; 0.17312823087670967 ; 5.0 ; 5.0707172310132815
5 ; 0 ; 0.16901102319460548 ; 0.17131955751496766 ; 5.0 ; 5.042072401000393
5 ; 0 ; 0.169051723147447 ; 0.16621714351659003 ; 5.0 ; 4.9659760705806555
5 ; 0 ; 0.16882819339948146 ; 0.17139670764174283 ; 5.0 ; 5.045847445177824
