dis ; ang ; K_true ; K_estim ; dist_estim
1 ; 0 ; 0.16907446260259465 ; 0.24674199712657469 ; 1.0 ; 1.2568487744495707
1 ; 0 ; 0.16945921644707723 ; 0.24742050461390122 ; 1.0 ; 1.257137689974849
1 ; 0 ; 0.16891697218662488 ; 0.2464132679400633 ; 1.0 ; 1.256633995772042
1 ; 0 ; 0.1692977521999523 ; 0.24734292339284739 ; 1.0 ; 1.2575344001475073
1 ; 0 ; 0.1693502976238724 ; 0.2471331368529075 ; 1.0 ; 1.2568408736786933
1 ; 0 ; 0.1698570373620581 ; 0.24782705832349983 ; 1.0 ; 1.2566995991824688
1 ; 0 ; 0.1690056737546441 ; 0.2470027946358729 ; 1.0 ; 1.257792618519525
1 ; 0 ; 0.16941475074625964 ; 0.24784207214227813 ; 1.0 ; 1.2583468809541554
1 ; 0 ; 0.16908985641978025 ; 0.24643839777339455 ; 1.0 ; 1.2560633926160847
1 ; 0 ; 0.16918477504457627 ; 0.2466736952252956 ; 1.0 ; 1.256227735707884
1 ; 0 ; 0.16918370007711966 ; 0.24683582193400525 ; 1.0 ; 1.256747206317046
1 ; 0 ; 0.16916958610654542 ; 0.24717434774080882 ; 1.0 ; 1.2576029383116474
1 ; 0 ; 0.1689491843793174 ; 0.2467437178719811 ; 1.0 ; 1.2573157789142821
1 ; 0 ; 0.16907211110718975 ; 0.24707312610993953 ; 1.0 ; 1.2577094461377332
1 ; 0 ; 0.16903727988452294 ; 0.24670653557004815 ; 1.0 ; 1.2568847895797233
1 ; 0 ; 0.1692524924247686 ; 0.24696499006052253 ; 1.0 ; 1.2567696291588373
1 ; 0 ; 0.16880402690577687 ; 0.2465397659459736 ; 1.0 ; 1.2572923673194911
1 ; 0 ; 0.16904463495934705 ; 0.2471781479333859 ; 1.0 ; 1.2580538287863934
1 ; 0 ; 0.16938069006094286 ; 0.24745361428579224 ; 1.0 ; 1.2575096339451828
1 ; 0 ; 0.16897948024751672 ; 0.2464666200680209 ; 1.0 ; 1.2565158517013915
5 ; 0 ; 0.16881048354895672 ; 0.17399136484197156 ; 5.0 ; 5.084303289922909
5 ; 0 ; 0.1688763296354695 ; 0.1840181974321879 ; 5.0 ; 5.22756279886193
5 ; 0 ; 0.16964734073139434 ; 0.17657957235809227 ; 5.0 ; 5.109243829322785
5 ; 0 ; 0.1690001482909122 ; 0.1787136530648099 ; 5.0 ; 5.149883585952223
5 ; 0 ; 0.16935160871880856 ; 0.18541093252950172 ; 5.0 ; 5.240082756051189
5 ; 0 ; 0.16956865941412624 ; 0.17375604945986056 ; 5.0 ; 5.069611793277739
5 ; 0 ; 0.16938031239111687 ; 0.1793194529114015 ; 5.0 ; 5.1527763567913984
5 ; 0 ; 0.1693683397376133 ; 0.1796738764019156 ; 5.0 ; 5.158237524833919
5 ; 0 ; 0.16920312567103796 ; 0.17967607841340164 ; 5.0 ; 5.160614760564407
5 ; 0 ; 0.1691503875641003 ; 0.18684185638994258 ; 5.0 ; 5.263261994745907
5 ; 0 ; 0.1689991949491249 ; 0.1811191745773454 ; 5.0 ; 5.184501451167219
5 ; 0 ; 0.16914696190434708 ; 0.18316655747889185 ; 5.0 ; 5.211261520388014
5 ; 0 ; 0.16893729499482701 ; 0.17584182468870913 ; 5.0 ; 5.109393229903091
5 ; 0 ; 0.16884923253590542 ; 0.1797287982896749 ; 5.0 ; 5.166743139720642
5 ; 0 ; 0.16873146960829366 ; 0.18359247861690134 ; 5.0 ; 5.223754656050614
5 ; 0 ; 0.16856502134583198 ; 0.1802212037924475 ; 5.0 ; 5.178190669416534
5 ; 0 ; 0.16928652423030985 ; 0.1783304745157684 ; 5.0 ; 5.14009725364956
5 ; 0 ; 0.16911550514538487 ; 0.1761687567895837 ; 5.0 ; 5.111564178003461
5 ; 0 ; 0.16949225031995724 ; 0.181913059179632 ; 5.0 ; 5.188084668577021
5 ; 0 ; 0.1691025276145748 ; 0.17870704210578026 ; 5.0 ; 5.148197216558639
10 ; 0 ; 0.16911866873315234 ; 0.2061467683712523 ; 10.0 ; 11.044590077975759
10 ; 0 ; 0.16861556755503512 ; 0.18188938104578486 ; 10.0 ; 10.390310080526351
10 ; 0 ; 0.16931861946704307 ; 0.18250827313404341 ; 10.0 ; 10.386184762509043
10 ; 0 ; 0.169323273795141 ; 0.1812655798665697 ; 10.0 ; 10.350786072195863
10 ; 0 ; 0.16924647212692961 ; 0.17203843451664963 ; 10.0 ; 10.086423074634059
10 ; 0 ; 0.16892569272195782 ; 0.15967093668211343 ; 10.0 ; 9.72646777179962
10 ; 0 ; 0.16980259460025104 ; 0.19657938893299617 ; 10.0 ; 10.763598873904002
10 ; 0 ; 0.16928495673491106 ; 0.17583106362432757 ; 10.0 ; 10.195725212916548
10 ; 0 ; 0.16886280485546198 ; 0.1885480692862421 ; 10.0 ; 10.571218066341526
10 ; 0 ; 0.16931891086484158 ; 0.18733403526248582 ; 10.0 ; 10.522856926389931
