dis ; ang ; K_true ; K_estim ; dist_estim
1 ; 0 ; 0.1691217272106694 ; 0.19996468763532277 ; 1.0 ; 1.1312359103563996
1 ; 0 ; 0.1690325562846614 ; 0.19966042906009232 ; 1.0 ; 1.1307235415331744
1 ; 0 ; 0.16886354180593227 ; 0.19910045292072795 ; 1.0 ; 1.129749453144326
1 ; 0 ; 0.16918894520543704 ; 0.19990884239954468 ; 1.0 ; 1.1309355106792047
1 ; 0 ; 0.16890307646782313 ; 0.19956473290493656 ; 1.0 ; 1.13092378975726
1 ; 0 ; 0.1691944043815563 ; 0.19994817077370425 ; 1.0 ; 1.1310755768375003
1 ; 0 ; 0.16935076193503187 ; 0.20060733643044343 ; 1.0 ; 1.1323533922737279
1 ; 0 ; 0.16908606610841406 ; 0.19950468433047283 ; 1.0 ; 1.1301260895815084
1 ; 0 ; 0.16906398730693964 ; 0.19952523684345935 ; 1.0 ; 1.1302827164088118
1 ; 0 ; 0.16951818582400038 ; 0.20033571789514437 ; 1.0 ; 1.1310570543106915
1 ; 0 ; 0.16914572067775277 ; 0.20006035433029407 ; 1.0 ; 1.131485371239045
1 ; 0 ; 0.16916947849203312 ; 0.19983384267120194 ; 1.0 ; 1.1307217938363734
1 ; 0 ; 0.1691497553629477 ; 0.20003694256902083 ; 1.0 ; 1.1313889333875775
1 ; 0 ; 0.1695432888331762 ; 0.2003766490123832 ; 1.0 ; 1.1310552780755692
1 ; 0 ; 0.16921335717243863 ; 0.19965071905729023 ; 1.0 ; 1.1301110914912114
1 ; 0 ; 0.16886946206877296 ; 0.19922593858550167 ; 1.0 ; 1.130082551658622
1 ; 0 ; 0.16883280630641198 ; 0.19918887776648814 ; 1.0 ; 1.1300309423903931
1 ; 0 ; 0.1686585804604775 ; 0.19921209137901624 ; 1.0 ; 1.1307382089381344
1 ; 0 ; 0.16921988595255885 ; 0.19997979690547305 ; 1.0 ; 1.1310339615831986
1 ; 0 ; 0.16933415976056457 ; 0.19994845786527593 ; 1.0 ; 1.1305263452017709
5 ; 0 ; 0.16947792625077673 ; 0.1726044784248411 ; 5.0 ; 5.054060159973403
5 ; 0 ; 0.16873975659268386 ; 0.17489387450831645 ; 5.0 ; 5.098425605551312
5 ; 0 ; 0.1692608916923235 ; 0.17231739800139384 ; 5.0 ; 5.053187087935662
5 ; 0 ; 0.1693160697471373 ; 0.17704388974926683 ; 5.0 ; 5.1208956882737
5 ; 0 ; 0.16900307322481828 ; 0.17522180291124856 ; 5.0 ; 5.099329768382078
5 ; 0 ; 0.16924371949360767 ; 0.1708989367606961 ; 5.0 ; 5.032528784517979
5 ; 0 ; 0.16887519545339147 ; 0.17800758769809874 ; 5.0 ; 5.141652425808115
5 ; 0 ; 0.16885760639247208 ; 0.17451521313416987 ; 5.0 ; 5.091129246504193
5 ; 0 ; 0.16914937061388105 ; 0.1690239036286548 ; 5.0 ; 5.0063052794193315
5 ; 0 ; 0.16909704050026472 ; 0.17570888210249247 ; 5.0 ; 5.104848896074003
5 ; 0 ; 0.1691052408476268 ; 0.17472553126625143 ; 5.0 ; 5.090450228994182
5 ; 0 ; 0.1692264245967395 ; 0.1743792515035963 ; 5.0 ; 5.0836811389800705
5 ; 0 ; 0.16898473838629535 ; 0.17089543904555943 ; 5.0 ; 5.036361420670369
5 ; 0 ; 0.1691925256836647 ; 0.17654741892531817 ; 5.0 ; 5.115604457270867
5 ; 0 ; 0.1691820849898828 ; 0.17307724171117086 ; 5.0 ; 5.06542992867004
5 ; 0 ; 0.1691384692599418 ; 0.171448554872598 ; 5.0 ; 5.042183010061054
5 ; 0 ; 0.1695375515374873 ; 0.17667490867102992 ; 5.0 ; 5.1122111097703415
5 ; 0 ; 0.1695545260957961 ; 0.17807608652839654 ; 5.0 ; 5.132163991030374
5 ; 0 ; 0.16919954010664073 ; 0.17407556234458685 ; 5.0 ; 5.079700045619611
5 ; 0 ; 0.16919288039288843 ; 0.17324482348068304 ; 5.0 ; 5.067601248460711
10 ; 0 ; 0.16864442862561294 ; 0.1623799542563819 ; 10.0 ; 9.8166848055249
10 ; 0 ; 0.16913068576173473 ; 0.16577343259826197 ; 10.0 ; 9.90442487943399
10 ; 0 ; 0.1692276099201608 ; 0.1606846185052454 ; 10.0 ; 9.748352094015258
10 ; 0 ; 0.16933247528930778 ; 0.16876457162513175 ; 10.0 ; 9.987285997155556
10 ; 0 ; 0.16894066100509814 ; 0.16069787992987966 ; 10.0 ; 9.75705695668648
10 ; 0 ; 0.16892785675740485 ; 0.17421987295278002 ; 10.0 ; 10.159402914052963
10 ; 0 ; 0.16893049163265722 ; 0.1598710660393192 ; 10.0 ; 9.732323676192703
10 ; 0 ; 0.16920744180495564 ; 0.19626297003026394 ; 10.0 ; 10.773866245037244
10 ; 0 ; 0.16931337546712055 ; 0.1516582064767057 ; 10.0 ; 9.46845011269347
10 ; 0 ; 0.1687507041425215 ; 0.18946575627064174 ; 10.0 ; 10.599920475217267
10 ; 0 ; 0.1688870954487956 ; 0.1909116466419825 ; 10.0 ; 10.636377239693461
10 ; 0 ; 0.1682779428046768 ; 0.1803464133983192 ; 10.0 ; 10.356315394778765
10 ; 0 ; 0.16873705370128714 ; 0.174606419115295 ; 10.0 ; 10.176570551880886
10 ; 0 ; 0.16924519297840368 ; 0.17023436425940888 ; 10.0 ; 10.033293683740313
10 ; 0 ; 0.1692179457154559 ; 0.16055360238268285 ; 10.0 ; 9.744752603202762
10 ; 0 ; 0.16872076237036995 ; 0.17547206010253388 ; 10.0 ; 10.20209247901589
10 ; 0 ; 0.16947940825569013 ; 0.1682418223159786 ; 10.0 ; 9.967537939588784
10 ; 0 ; 0.16873399410874948 ; 0.1615628190523397 ; 10.0 ; 9.789253068064363
10 ; 0 ; 0.16923072688733903 ; 0.16983004364428722 ; 10.0 ; 10.021943966613613
10 ; 0 ; 0.1682416196489541 ; 0.15376803247815513 ; 10.0 ; 9.564325766764915
20 ; 0 ; 0.17012631516287338 ; 0.13388401355123725 ; 20.0 ; 17.74467897203364
20 ; 0 ; 0.1696331196119488 ; 0.16660791910721046 ; 20.0 ; 19.823134235422106
20 ; 0 ; 0.1687205966853622 ; 0.16633279942566215 ; 20.0 ; 19.860313846321475
