arr ; signal ; dist ; angle ; pNoise ; pSigna ; snr_DB ; K_True ; K_Estim ; Dist_Estim
A5 ; SX ; 10 ; 00 ; [7.491049058135568e-06, 9.36897142416316e-06, 8.459338868025762e-06, 1.0824766974560341e-05, 8.509999339802194e-06, 1.1258211494629321e-05, 9.928535783974164e-06, 8.156380029257603e-07] ; [0.003088376299799497, 0.0035663779970219137, 0.002460310883609264, 0.004212984019941591, 0.0020889370991879304, 0.003285178949820236, 0.0035025604522601755, 0.0003228490319753844] ; [60.216919135760776, 59.416066970768114, 56.725615295843745, 59.6326364300115, 55.02508850146944, 56.748700473693745, 58.65051192232886, 59.80521706158915] ; 0.283476147576314 ; 0.028720262682779007 ; 10.0 ; 3.8593618567856494
A5 ; SX ; 10 ; 10 ; [2.2986527637973117e-06, 2.9926594487963092e-06, 2.634214139355627e-06, 3.3089920057153936e-06, 2.676093230011126e-06, 3.3185497802642915e-06, 3.570805861551951e-06, 3.039409159766075e-07] ; [0.0022530107894544616, 0.0029257135127193495, 0.002793271260707819, 0.003096163349857141, 0.001768832672524395, 0.0027456138882762833, 0.0034443050842142358, 0.00026527609247903154] ; [68.87699532905671, 68.8501606935481, 69.6632606879094, 68.40931855695756, 64.93472088596133, 67.17805999347944, 68.71398993081175, 67.7149005175612] ; 0.24255736533371977 ; 0.03925366020903789 ; 9.999999999999998 ; 4.897320426683908
A5 ; SX ; 10 ; 25 ; [1.5090862109304649e-06, 1.8880240877588363e-06, 1.7767938120253162e-06, 2.2594093612884684e-06, 1.8846823576697847e-06, 2.342580901730168e-06, 2.0633797934757774e-06, 1.9509531929559174e-07] ; [0.0029524948122161727, 0.004726190174714739, 0.0027170069751593405, 0.003664805346962375, 0.003337103055169532, 0.003200618810048644, 0.004007367160131524, 0.00029724598498256146] ; [75.78901481667805, 78.2529889877925, 73.32435643611332, 73.91228914106318, 74.79007602311847, 72.19588176632061, 75.71401816459728, 73.28710743905407] ; 0.3123164029111123 ; 0.05071389206507504 ; 10.0 ; 4.9948364969768955
A5 ; SX ; 20 ; 00 ; [4.832747916634358e-06, 6.397188689887508e-06, 5.408592043658784e-06, 6.938079190082806e-06, 5.381911177072988e-06, 7.11107125621057e-06, 6.4276534696931465e-06, 5.383121781611188e-07] ; [0.00021058638394668694, 0.00024130791480330387, 0.00010464904207096057, 0.0002868143686354094, 0.0001095193665843246, 0.0003755615179755385, 0.0004280658164036734, 1.5995223271038317e-05] ; [37.74480711258895, 36.272262889758565, 29.594555130115733, 37.140057396079, 30.0506809495154, 39.600734521798934, 41.9450036344129, 33.856254980982406] ; 0.0890091643759382 ; 0.000439234724333135 ; 20.0 ; 1.9271143120021694
A5 ; SX ; 20 ; 10 ; [1.6652243622647432e-05, 2.1620303268223207e-05, 1.9784722244748063e-05, 2.467466972369272e-05, 1.9527768465494023e-05, 2.5633501326701723e-05, 2.3707322247123644e-05, 1.7064937462627385e-06] ; [0.000131464440387812, 0.00015247382746285353, 0.00016534728340131008, 0.00016322810036061122, 0.00011192327588661395, 0.00018650120898126965, 0.00029547347304172865, 1.804291637333635e-05] ; [20.66191440288039, 19.372686863435995, 21.157882200888032, 18.395702894708478, 17.17314878039286, 19.34881978528301, 25.003243537843375, 23.414112862527297] ; 0.06146237824041053 ; 0.002385502391043811 ; 19.999999999999996 ; 4.7961585599099585
A5 ; SX ; 20 ; 25 ; [9.573993758561636e-06, 1.1781608147126958e-05, 1.2408788601992412e-05, 1.4204209380558966e-05, 1.1831906928888205e-05, 1.5026589174756827e-05, 1.1724355910830235e-05, 9.426401547726896e-07] ; [0.00023155268205587317, 0.00019340272458373865, 0.00013629817557041108, 0.00017124943140083628, 0.00015440625614521815, 0.000166058030866375, 0.00024633028235787797, 3.5022714067297057e-05] ; [31.857569768577957, 27.913536296264038, 23.90852738597822, 24.62564686778268, 25.56300457301244, 23.701027115260924, 30.31736037924105, 36.1028686392756] ; 0.06673531104046793 ; 0.0023171667815923246 ; 20.0 ; 4.154601534395997
A5 ; SX ; 40 ; 00 ; [8.719888195117781e-07, 1.262055668298629e-06, 1.108226179431758e-06, 1.3428100972965013e-06, 1.384871642459494e-06, 1.9956678878583932e-06, 1.585546633888677e-06, 1.4815650600108976e-07] ; [0.00016399891017700863, 0.00028192901889813175, 0.00020887931912184744, 0.00014290649464444378, 0.00025042187674097406, 0.00020428340834893218, 0.00018414310469408543, 1.906344994056978e-05] ; [52.368384593561366, 54.08409393503468, 52.386712147583474, 46.64401673256798, 51.96643589980879, 46.25080394092265, 47.523965710172185, 48.55880913112244] ; 0.29160393059997086 ; 0.002199050093985019 ; 40.0 ; 4.257804352728149
A5 ; SX ; 40 ; 10 ; [5.703505513237943e-06, 7.47569213855156e-06, 7.136645395402297e-06, 8.647476046152754e-06, 6.998808395568727e-06, 8.693057793046507e-06, 8.720283028051997e-06, 6.613403244908127e-07] ; [0.00019260120832986734, 0.00021168032865241754, 0.0002809244540356156, 0.00019476036693888906, 0.00023473679339640466, 0.00023970300441568786, 0.0003175824661996206, 2.6014719221188423e-05] ; [35.195407849969875, 33.39436956800909, 36.71287032886823, 31.00130354158459, 35.078849289630696, 33.04011402815489, 35.87452498953415, 36.676344281974636] ; 0.34026821394585743 ; 0.0035620146330826753 ; 39.99999999999999 ; 4.880102080304668
A5 ; SX ; 40 ; 25 ; [3.916790774827424e-06, 4.821473974888169e-06, 4.461007025665616e-06, 5.447583388417756e-06, 4.333299985564483e-06, 5.65439896179209e-06, 5.205644597498388e-06, 4.243859880303308e-07] ; [0.00028310739467291983, 0.00022378365268011497, 0.00021800098752289954, 0.00017720230693155846, 0.00019346587592151938, 0.00024144789828059454, 0.0002003367853417059, 1.3158783359357975e-05] ; [42.80553673523194, 38.35171679546449, 38.87871945221239, 34.72191037780401, 37.95138003835178, 37.45931586219791, 36.430342251089726, 34.284702321543875] ; 0.31006791262680444 ; 0.003582234119268674 ; 40.0 ; 5.623850599722947
A5 ; SX ; 60 ; 00 ; [1.0815422114922486e-05, 1.4650297465583846e-05, 1.3033596199534224e-05, 1.5839620005180624e-05, 1.2194355430940558e-05, 1.6607049503054005e-05, 1.537557500328819e-05, 1.1526913770198046e-06] ; [5.8448940731129565e-05, 6.83225256745934e-05, 5.939530151109647e-05, 6.924844770111443e-05, 7.06394564565812e-05, 0.00010841720056744777, 0.00013070079097123277, 1.267728473662138e-05] ; [16.871804759548773, 15.153436447301713, 15.031643730205015, 13.988339955028678, 17.282621093207258, 18.206593149862588, 21.070090503894555, 23.814694852597256] ; 0.2605020053845311 ; 0.0007926471328965278 ; 60.0 ; 3.818581438672882
