dis;ang;source_pos;SNR;TDOA_real;TDOA_CSOM;TDOA_GCCP
1 ; 0 ; [0. 1.] ; 110.04613504943259 ; 1.7437143665532393 ; 0.0 ; 0.0 ; 0.0 ; 0.0
1 ; 15 ; [0.25881905 0.96592583] ; 110.81672062102749 ; 1.8676115290389572 ; 0.0003663850970696492 ; 5.421010862427522e-20 ; 0.0003645833333333333 ; 5.421010862427522e-20
1 ; 45 ; [0.70710678 0.70710678] ; 110.4199655893837 ; 1.8803095317594982 ; 0.0010136636850377784 ; 2.168404344971009e-19 ; 0.0010104166666666666 ; 0.0
1 ; 75 ; [0.96592583 0.25881905] ; 110.39939420240792 ; 1.4218856768985095 ; 0.0014037085754228544 ; 2.168404344971009e-19 ; 0.0014062500000000002 ; 2.168404344971009e-19
1 ; 90 ; [1.000000e+00 6.123234e-17] ; 109.8339801685158 ; 1.2759182318646118 ; 0.0014564520827264785 ; 2.168404344971009e-19 ; 0.0014583333333333332 ; 2.168404344971009e-19
5 ; 0 ; [0. 5.] ; 100.08303911439769 ; 2.030012059819194 ; 0.0 ; 0.0 ; 0.0 ; 0.0
5 ; 15 ; [1.29409523 4.82962913] ; 99.57358069246803 ; 2.1598558319098204 ; 0.00037651859896781903 ; 0.0 ; 0.00037500000000000006 ; 5.421010862427522e-20
5 ; 45 ; [3.53553391 3.53553391] ; 100.22152561939674 ; 1.8202857217310862 ; 0.0010292232769386722 ; 0.0 ; 0.0010312500000000003 ; 2.168404344971009e-19
5 ; 75 ; [4.82962913 1.29409523] ; 99.59145361916546 ; 1.8134806828438144 ; 0.0014067066217239783 ; 0.0 ; 0.0014062500000000002 ; 2.168404344971009e-19
5 ; 90 ; [5.000000e+00 3.061617e-16] ; 100.2211206194212 ; 1.6259247531496523 ; 0.0014564520827264785 ; 2.168404344971009e-19 ; 0.0014583333333333332 ; 2.168404344971009e-19
10 ; 0 ; [ 0. 10.] ; 86.73028142642247 ; 1.6797398111697495 ; 0.0 ; 0.0 ; 0.0 ; 0.0
10 ; 15 ; [2.58819045 9.65925826] ; 86.86184344129725 ; 1.5798185335915422 ; 0.00037684767256054353 ; 5.421010862427522e-20 ; 0.00037500000000000006 ; 5.421010862427522e-20
10 ; 45 ; [7.07106781 7.07106781] ; 86.73106666133484 ; 1.704335348707114 ; 0.001029706214870019 ; 2.168404344971009e-19 ; 0.0010312500000000003 ; 2.168404344971009e-19
10 ; 75 ; [9.65925826 2.58819045] ; 87.28239699738967 ; 2.1522629056525315 ; 0.0014067952153937302 ; 2.168404344971009e-19 ; 0.0014062500000000002 ; 2.168404344971009e-19
10 ; 90 ; [1.000000e+01 6.123234e-16] ; 87.63944146140335 ; 1.878076929072715 ; 0.0014564520827264785 ; 2.168404344971009e-19 ; 0.0014583333333333332 ; 2.168404344971009e-19
20 ; 0 ; [ 0. 20.] ; 73.60966648443647 ; 1.720964482632856 ; 0.0 ; 0.0 ; 0.0 ; 0.0
20 ; 15 ; [ 5.1763809  19.31851653] ; 73.05143199343794 ; 1.511976372068021 ; 0.0003769300629606964 ; 5.421010862427522e-20 ; 0.00037500000000000006 ; 5.421010862427522e-20
20 ; 45 ; [14.14213562 14.14213562] ; 72.5873867456173 ; 1.9460171791224246 ; 0.0010298269141983329 ; 0.0 ; 0.0010312500000000003 ; 2.168404344971009e-19
20 ; 75 ; [19.31851653  5.1763809 ] ; 73.08380222609816 ; 1.9686676866195834 ; 0.0014068173179904503 ; 2.168404344971009e-19 ; 0.0014062500000000002 ; 2.168404344971009e-19
20 ; 90 ; [2.0000000e+01 1.2246468e-15] ; 73.35483074253459 ; 2.0976989969460194 ; 0.0014564520827264785 ; 2.168404344971009e-19 ; 0.0014583333333333332 ; 2.168404344971009e-19
40 ; 0 ; [ 0. 40.] ; 59.1970941908066 ; 2.3953464713606665 ; 0.0 ; 0.0 ; 0.0 ; 0.0
40 ; 15 ; [10.3527618  38.63703305] ; 59.97456997398981 ; 1.8424949330881648 ; 0.0003769506681975102 ; 5.421010862427522e-20 ; 0.00037656250000000005 ; 3.7194939731993977e-06
40 ; 45 ; [28.28427125 28.28427125] ; 59.67087532535565 ; 1.7832055589253826 ; 0.001029857086823727 ; 2.168404344971009e-19 ; 0.0010312500000000003 ; 2.168404344971009e-19
40 ; 75 ; [38.63703305 10.3527618 ] ; 59.66821655192291 ; 1.7758118822740343 ; 0.001406822840781545 ; 2.168404344971009e-19 ; 0.0014062500000000002 ; 2.168404344971009e-19
40 ; 90 ; [4.0000000e+01 2.4492936e-15] ; 59.659968019087295 ; 1.7932513279958044 ; 0.0014564520827264785 ; 2.168404344971009e-19 ; 0.0014583333333333332 ; 2.168404344971009e-19
60 ; 0 ; [ 0. 60.] ; 51.95116220386475 ; 1.9255020772318427 ; 0.0 ; 0.0 ; 0.0 ; 4.658474953124562e-06
60 ; 15 ; [15.52914271 57.95554958] ; 50.8963919598478 ; 2.307898432523081 ; 0.00037695448431743233 ; 5.421010862427522e-20 ; 0.0003791666666666667 ; 5.103103630798285e-06
60 ; 45 ; [42.42640687 42.42640687] ; 50.74286685245658 ; 1.8058853989352834 ; 0.0010298626742500055 ; 2.168404344971009e-19 ; 0.0010302083333333333 ; 4.540519732854908e-06
60 ; 75 ; [57.95554958 15.52914271] ; 50.53801878996165 ; 2.1361165963376516 ; 0.0014068238633952504 ; 2.168404344971009e-19 ; 0.0014062500000000002 ; 2.168404344971009e-19
