dis;ang;source_pos;SNR;TDOA_real;TDOA_CSOM;TDOA_GCCP
1 ; 0 ; [0. 1.] ; 102.96975564460475 ; 1.0253189566861256 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; -0.08333333333333334 ; 0.16666666666666669
1 ; 15 ; [0.25881905 0.96592583] ; 102.42144473835754 ; 1.3976648435830108 ; 0.0004343809757301557 ; 0.0 ; 0.00043750000000000006 ; 5.421010862427522e-20 ; -0.18750104166666665 ; 0.20728810722184793
1 ; 45 ; [0.70710678 0.70710678] ; 102.72488859631252 ; 1.513639293331548 ; 0.0012077714808524484 ; 2.168404344971009e-19 ; 0.0012083333333333332 ; 2.168404344971009e-19 ; -0.125 ; 0.19094065395649334
1 ; 75 ; [0.96592583 0.25881905] ; 102.60118675352503 ; 1.747616286844842 ; 0.0016826647618928762 ; 2.168404344971009e-19 ; 0.0016875000000000002 ; 2.168404344971009e-19 ; -0.10416666666666667 ; 0.18042195912175804
1 ; 90 ; [1.000000e+00 6.123234e-17] ; 102.72003228589774 ; 1.582178014176156 ; 0.001747742499271774 ; 2.168404344971009e-19 ; 0.0017500000000000003 ; 2.168404344971009e-19 ; -0.14583333333333331 ; 0.19873733362853033
5 ; 0 ; [0. 5.] ; 92.07947223879711 ; 1.4501283131642593 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; -0.25000000000000006 ; 0.2041241452319315
5 ; 15 ; [1.29409523 4.82962913] ; 92.30841935996092 ; 1.0919652939519886 ; 0.0004515910861116115 ; 5.421010862427522e-20 ; 0.0004583333333333333 ; 0.0 ; -0.20833333333333334 ; 0.20833333333333334
5 ; 45 ; [3.53553391 3.53553391] ; 91.36432998257871 ; 1.0548727090641579 ; 0.0012347278191278232 ; 2.168404344971009e-19 ; 0.0012291666666666666 ; 0.0 ; -0.20833333333333334 ; 0.20833333333333334
5 ; 75 ; [4.82962913 1.29409523] ; 91.28625222471246 ; 1.031237845909602 ; 0.0016879854118824849 ; 0.0 ; 0.0016875000000000002 ; 2.168404344971009e-19 ; -0.1875 ; 0.20728904939721252
5 ; 90 ; [5.000000e+00 3.061617e-16] ; 91.24185944777767 ; 1.2685620822143653 ; 0.0017477424992717728 ; 0.0 ; 0.0017500000000000003 ; 2.168404344971009e-19 ; -0.14583437500000002 ; 0.19873656930456876
10 ; 0 ; [ 0. 10.] ; 80.45447146477991 ; 1.1432023631061992 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; -0.1666677083333333 ; 0.24295382796040962
10 ; 15 ; [2.58819045 9.65925826] ; 80.95846893255758 ; 1.1797407089945875 ; 0.00045215923151354433 ; 5.421010862427522e-20 ; 0.0004583333333333333 ; 0.0 ; -0.125 ; 0.19094065395649334
10 ; 45 ; [7.07106781 7.07106781] ; 80.32270205567463 ; 1.4865100808330876 ; 0.0012355624776411347 ; 2.168404344971009e-19 ; 0.0012291666666666666 ; 0.0 ; -0.33333333333333337 ; 0.16666666666666669
10 ; 75 ; [9.65925826 2.58819045] ; 80.31217072209799 ; 1.41097367242116 ; 0.0016881386880212331 ; 0.0 ; 0.0016875000000000002 ; 2.168404344971009e-19 ; -0.22916666666666669 ; 0.20728904939721252
10 ; 90 ; [1.000000e+01 6.123234e-16] ; 80.45798681540285 ; 0.9420719037032437 ; 0.001747742499271778 ; 0.0 ; 0.0017500000000000003 ; 2.168404344971009e-19 ; -0.18749999999999997 ; 0.20728904939721252
20 ; 0 ; [ 0. 20.] ; 67.7875456354927 ; 1.2657456437830046 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; -0.20833333333333334 ; 0.20833333333333334
20 ; 15 ; [ 5.1763809  19.31851653] ; 67.00374187243537 ; 1.2196085107846253 ; 0.00045230157117262233 ; 0.0 ; 0.0004583333333333333 ; 0.0 ; -0.12500104166666665 ; 0.2319877496611374
20 ; 45 ; [14.14213562 14.14213562] ; 66.76044111259742 ; 1.3149941330435901 ; 0.0012357710550164058 ; 2.168404344971009e-19 ; 0.0012312500000000001 ; 6.250000000000028e-06 ; -0.20833333333333334 ; 0.20833333333333334
20 ; 75 ; [19.31851653  5.1763809 ] ; 66.27078879262446 ; 1.039603886546332 ; 0.001688176892905313 ; 2.168404344971009e-19 ; 0.0016875000000000002 ; 2.168404344971009e-19 ; -0.20833333333333334 ; 0.20833333333333334
20 ; 90 ; [2.0000000e+01 1.2246468e-15] ; 66.68934137366358 ; 1.181825390086321 ; 0.001747742499271778 ; 0.0 ; 0.0017500000000000003 ; 2.168404344971009e-19 ; -0.125 ; 0.19094065395649334
40 ; 0 ; [ 0. 40.] ; 53.117722603704394 ; 1.3542830414567368 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; -0.20833333333333334 ; 0.20833333333333334
40 ; 15 ; [10.3527618  38.63703305] ; 52.88578066586066 ; 1.0918680250169717 ; 0.00045233717508586077 ; 5.421010862427522e-20 ; 0.0004572916666666666 ; 4.540519732854865e-06 ; -0.22916666666666669 ; 0.20728904939721252
40 ; 45 ; [28.28427125 28.28427125] ; nan ; nan ; 0.0012358231938727634 ; 2.168404344971009e-19 ; 0.0012312500000000001 ; 6.250000000000028e-06 ; -0.20833333333333334 ; 0.20833333333333334
40 ; 75 ; [38.63703305 10.3527618 ] ; 53.40015367152292 ; 1.361561036500075 ; 0.0016881864370124212 ; 0.0 ; 0.0016875000000000002 ; 2.168404344971009e-19 ; -0.27083229166666667 ; 0.19873656930456873
