dis ; ang ; K_true ; K_estim ; dist_estim
1 ; 0 ; 0.16955834541211048 ; 0.24776404974380525 ; 1.0 ; 1.2576495486361345
1 ; 0 ; 0.16902742073979204 ; 0.24738709559613153 ; 1.0 ; 1.2586022937027828
1 ; 0 ; 0.1689840782786343 ; 0.246728485962646 ; 1.0 ; 1.2571115396183041
1 ; 0 ; 0.1689412827046435 ; 0.24633371335439908 ; 1.0 ; 1.2563471038174079
1 ; 0 ; 0.16859842858239427 ; 0.2458086629872265 ; 1.0 ; 1.2562607179270224
1 ; 0 ; 0.16927273129769368 ; 0.2471470877693085 ; 1.0 ; 1.257142356051694
1 ; 0 ; 0.16910954175533424 ; 0.24687728865895348 ; 1.0 ; 1.2570665455081684
1 ; 0 ; 0.16855821244280572 ; 0.24644860523499063 ; 1.0 ; 1.258010667122155
1 ; 0 ; 0.16875793071292014 ; 0.24645285826464408 ; 1.0 ; 1.2573007827285816
1 ; 0 ; 0.16936410937028026 ; 0.24742998955913825 ; 1.0 ; 1.2575327256045605
1 ; 0 ; 0.1693238302170067 ; 0.24719705441674508 ; 1.0 ; 1.257079114137898
1 ; 0 ; 0.16870711313017014 ; 0.24636790945288833 ; 1.0 ; 1.2572908478574036
1 ; 0 ; 0.16922131287639183 ; 0.24693153182938082 ; 1.0 ; 1.2568102487299613
1 ; 0 ; 0.16912134642646987 ; 0.24694541707760764 ; 1.0 ; 1.2571813740130362
1 ; 0 ; 0.16889544346558993 ; 0.2461812556973172 ; 1.0 ; 1.2561132679944826
1 ; 0 ; 0.16914079531398737 ; 0.24651144309481393 ; 1.0 ; 1.25605757344358
1 ; 0 ; 0.1689038247148412 ; 0.24650373624015612 ; 1.0 ; 1.2568669929100593
1 ; 0 ; 0.1693984415297053 ; 0.24725084297148214 ; 1.0 ; 1.256964908144943
1 ; 0 ; 0.16947925035826555 ; 0.24730311406628255 ; 1.0 ; 1.2568072758216264
1 ; 0 ; 0.16921061974271914 ; 0.24705109033768285 ; 1.0 ; 1.2571674294466693
5 ; 0 ; 0.16893938603122996 ; 0.1810301594191374 ; 5.0 ; 5.184034041707169
5 ; 0 ; 0.16918422181457932 ; 0.1785363636409659 ; 5.0 ; 5.144489290737116
5 ; 0 ; 0.16924235865802928 ; 0.17899302492401503 ; 5.0 ; 5.150241133507249
5 ; 0 ; 0.16927345139493405 ; 0.18078558620205518 ; 5.0 ; 5.175685364175148
5 ; 0 ; 0.16892509179784143 ; 0.1845666428038383 ; 5.0 ; 5.234529229427301
5 ; 0 ; 0.16908126924094935 ; 0.17617416436461789 ; 5.0 ; 5.112008727610892
5 ; 0 ; 0.16882847354652308 ; 0.17868636646011718 ; 5.0 ; 5.152174627230223
5 ; 0 ; 0.16929796509457543 ; 0.17741670479472 ; 5.0 ; 5.126674914626585
5 ; 0 ; 0.16940488321420308 ; 0.1784734359785004 ; 5.0 ; 5.14037171131803
5 ; 0 ; 0.1692544590200837 ; 0.18826089541431104 ; 5.0 ; 5.281523367420402
5 ; 0 ; 0.16926811008487674 ; 0.1758625021569564 ; 5.0 ; 5.104624080665642
5 ; 0 ; 0.16900921196144453 ; 0.17896941558600057 ; 5.0 ; 5.153422815498386
5 ; 0 ; 0.16886993200787953 ; 0.18016674157739382 ; 5.0 ; 5.172861766852
5 ; 0 ; 0.16948920148844562 ; 0.17633255373233053 ; 5.0 ; 5.108234981915406
5 ; 0 ; 0.16886923531821038 ; 0.17656828183091602 ; 5.0 ; 5.120991241045403
5 ; 0 ; 0.16893021873826333 ; 0.17989987239217184 ; 5.0 ; 5.168145301273636
5 ; 0 ; 0.16875709986514859 ; 0.17963123570994455 ; 5.0 ; 5.167005607705693
5 ; 0 ; 0.16900561713927092 ; 0.17278760108937916 ; 5.0 ; 5.06401739660854
5 ; 0 ; 0.1682402503728558 ; 0.17880451946879136 ; 5.0 ; 5.1627668679920875
5 ; 0 ; 0.16911940374864937 ; 0.17525831581373846 ; 5.0 ; 5.098175091162787
10 ; 0 ; 0.16888965729164737 ; 0.16663429137641167 ; 10.0 ; 9.937299121892963
